"4,VIKTORIA,129"
"15,VIKTORIA,92"
"14,VIKTORIA,155"
"A7,AMBELOKIPI,150"
"230,AMBELOKIPI,153"
"B5,AMBELOKIPI,147"
"14,AMBELOKIPI,155"
"19,AMBELOKIPI,5"
"18,AMBELOKIPI,64"
"19B,AMBELOKIPI,29"
"224,SYNTAGMA,176"
"203,OMONIA,68"
"815,OMONIA,78"
"815,PANEPISTIMIO,78"
"815,SYNTAGMA,78"
"622,SYNTAGMA,80"
"220,OMONIA,81"
"220,PANEPISTIMIO,81"
"220,SYNTAGMA,81"
"235,OMONIA,66"
"608,SYNTAGMA,288"
"221,OMONIA,42"
"221,PANEPISTIMIO,42"
"221,SYNTAGMA,42"
"204B,OMONIA,10"
"211,OMONIA,57"
"214,OMONIA,98"
"732,SYNTAGMA,108"
"031,OMONIA,2"
"031,PANEPISTIMIO,2"
"031,SYNTAGMA,2"
"060,EVANGELISMOS,34"
"060,MEGARO MOUSSIKIS,34"
"060,AMBELOKIPI,34"
"032,EVANGELISMOS,3"
"622,VIKTORIA,80"
"608,VIKTORIA,288"
"057,OMONIA,55"
"057,PANEPISTIMIO,55"
"856,OMONIA,147"
"2,OMONIA,120"
"2,PANEPISTIMIO,120"
"4,OMONIA,129"
"4,PANEPISTIMIO,129"
"15,OMONIA,92"
"15,PANEPISTIMIO,92"
"790,OMONIA,10"
"790,PANEPISTIMIO,10"
"3,OMONIA,162"
"3,PANEPISTIMIO,162"
"5,OMONIA,147"
"5,PANEPISTIMIO,147"
"11,OMONIA,171"
"11,PANEPISTIMIO,171"
"500,OMONIA,9"
"500,PANEPISTIMIO,9"
"054,OMONIA,76"
"054,PANEPISTIMIO,76"
"A11,VIKTORIA,101"
"Γ12,LARISSA STATION,64"
"Γ12,METAXOURGHIO,64"
"Γ12,VIKTORIA,64"
"B11,VIKTORIA,97"
"A10,VIKTORIA,117"
"B10,VIKTORIA,116"
"B12,METAXOURGHIO,171"
"732,LARISSA STATION,108"
"732,METAXOURGHIO,108"
"732,VIKTORIA,108"
"A11,ATTIKI,101"
"Γ12,ATTIKI,64"
"B11,ATTIKI,97"
"732,ATTIKI,108"
"719,ATTIKI,66"
"719,LARISSA STATION,66"
"720,ATTIKI,54"
"720,LARISSA STATION,54"
"A11,AGHIOS NIKOLAOS,101"
"Γ12,AGHIOS NIKOLAOS,64"
"719,AGHIOS NIKOLAOS,66"
"B11,AGHIOS NIKOLAOS,97"
"A10,AGHIOS NIKOLAOS,117"
"B10,AGHIOS NIKOLAOS,116"
"720,AGHIOS NIKOLAOS,54"
"711,AGHIOS NIKOLAOS,52"
"B12,AGHIOS NIKOLAOS,171"
"227,OMONIA,101"
"B11,AGHIOS NIKOLAOS,97"
"B11,ATTIKI,97"
"A10,AGHIOS NIKOLAOS,117"
"A10,ATTIKI,117"
"B10,AGHIOS NIKOLAOS,116"
"B10,ATTIKI,116"
"B12,AGHIOS NIKOLAOS,171"
"B12,ATTIKI,171"
"728,AGHIOS NIKOLAOS,40"
"A11,AGHIOS NIKOLAOS,101"
"A11,ATTIKI,101"
"891,ATTIKI,27"
"891,LARISSA STATION,27"
"Γ12,OMONIA,64"
"A8,AGHIOS ELEFTHERIOS,161"
"A8,ANO PATISSIA,161"
"790,ATTIKI,10"
"057,LARISSA STATION,55"
"057,METAXOURGHIO,55"
"051,LARISSA STATION,120"
"051,METAXOURGHIO,120"
"057,ATTIKI,55"
"A13,THISIO,179"
"A13,LARISSA STATION,179"
"12,LARISSA STATION,130"
"12,METAXOURGHIO,130"
"A13,SEPOLIA,179"
"12,SEPOLIA,130"
"822,SEPOLIA,115"
"730,SEPOLIA,101"
"822,LARISSA STATION,115"
"730,LARISSA STATION,101"
"822,METAXOURGHIO,115"
"730,METAXOURGHIO,101"
"813,METAXOURGHIO,120"
"813,THISIO,120"
"822,THISIO,115"
"730,THISIO,101"
"A13,MONASTIRAKI,179"
"031,LARISSA STATION,2"
"031,METAXOURGHIO,2"
"025,METAXOURGHIO,72"
"230,ACROPOLI,153"
"025,KERAMEIKOS,72"
"A15,ELEONAS,196"
"B15,ELEONAS,32"
"A15,KERAMEIKOS,196"
"B15,KERAMEIKOS,32"
"B9,VIKTORIA,161"
"12,OMONIA,130"
"1,OMONIA,90"
"057,MONASTIRAKI,55"
"057,THISIO,55"
"12,MONASTIRAKI,130"
