1,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,405,,,,,82,509,,,,,,,,,,,,,,,,,,,,,,
111,450,,,,,83,535A,,,,,,,,,,,,,,,,,,,,,,
112,451,,,,,84,142,,,,,,,,,,,,,,,,,,,,,,
113,460,,,,,85,171,,,,,,,,,,,,,,,,,,,,,,
114,461,,,,,86,230,,,,,,,,,,,,,,,,,,,,,,
115,21,,,,,87,227,,,,,,,,,,,,,,,,,,,,,,
116,444,,,,,88,217,,,,,,,,,,,,,,,,,,,,,,
117,602,,,,,89,229,,,,,,,,,,,,,,,,,,,,,,
118,642,,,,,90,703,,,,,,,,,,,,,,,,,,,,,,
119,B10,,,,,91,6,,,,,,,,,,,,,,,,,,,,,,
120,728,,,,,92,3,,,,,,,,,,,,,,,,,,,,,,
121,A5,,,,,93,11,,,,,,,,,,,,,,,,,,,,,,
122,60,,,,,94,40,,,,,,,,,,,,,,,,,,,,,,
123,823,,,,,95,12,,,,,,,,,,,,,,,,,,,,,,
124,822,,,,,96,15,,,,,,,,,,,,,,,,,,,,,,
125,706,,,,,97,1,,,,,,,,,,,,,,,,,,,,,,
126,653,,,,,98,4,,,,,,,,,,,,,,,,,,,,,,
127,914,,,,,99,201,,,,,,,,,,,,,,,,,,,,,,
128,838,,,,,100,X95,,,,,,,,,,,,,,,,,,,,,,
129,915,,,,,101,307,,,,,,,,,,,,,,,,,,,,,,
130,B5,,,,,102,306,,,,,,,,,,,,,,,,,,,,,,
131,446,,,,,103,302,,,,,,,,,,,,,,,,,,,,,,
132,543,,,,,104,319,,,,,,,,,,,,,,,,,,,,,,
133,543A,,,,,105,411,,,,,,,,,,,,,,,,,,,,,,
134,911,,,,,106,301,,,,,,,,,,,,,,,,,,,,,,
135,911A,,,,,107,301B,,,,,,,,,,,,,,,,,,,,,,
136,421,,,,,108,314,,,,,,,,,,,,,,,,,,,,,,
137,827,,,,,109,407,,,,,,,,,,,,,,,,,,,,,,
138,814,,,,,110,405,,,,,,,,,,,,,,,,,,,,,,
139,527,,,,,111,450,,,,,,,,,,,,,,,,,,,,,,
140,25,,,,,112,451,,,,,,,,,,,,,,,,,,,,,,
141,26,,,,,113,460,,,,,,,,,,,,,,,,,,,,,,
142,829,,,,,114,461,,,,,,,,,,,,,,,,,,,,,,
143,828,,,,,115,21,,,,,,,,,,,,,,,,,,,,,,
144,909,,,,,116,444,,,,,,,,,,,,,,,,,,,,,,
145,640,,,,,117,602,,,,,,,,,,,,,,,,,,,,,,
146,731,,,,,118,642,,,,,,,,,,,,,,,,,,,,,,
147,700,,,,,119,B10,,,,,,,,,,,,,,,,,,,,,,
148,25,,,,,120,728,,,,,,,,,,,,,,,,,,,,,,
149,605,,,,,121,A5,,,,,,,,,,,,,,,,,,,,,,
150,101,,,,,122,60,,,,,,,,,,,,,,,,,,,,,,
151,790,,,,,123,823,,,,,,,,,,,,,,,,,,,,,,
152,A3,,,,,124,822,,,,,,,,,,,,,,,,,,,,,,
153,B1,,,,,125,706,,,,,,,,,,,,,,,,,,,,,,
154,140,,,,,126,653,,,,,,,,,,,,,,,,,,,,,,
155,124,,,,,127,914,,,,,,,,,,,,,,,,,,,,,,
156,154,,,,,128,838,,,,,,,,,,,,,,,,,,,,,,
157,122,,,,,129,915,,,,,,,,,,,,,,,,,,,,,,
158,447,,,,,130,B5,,,,,,,,,,,,,,,,,,,,,,
159,416,,,,,131,446,,,,,,,,,,,,,,,,,,,,,,
160,418,,,,,132,543,,,,,,,,,,,,,,,,,,,,,,
161,890,,,,,133,543A,,,,,,,,,,,,,,,,,,,,,,
162,841,,,,,134,911,,,,,,,,,,,,,,,,,,,,,,
163,800,,,,,135,911A,,,,,,,,,,,,,,,,,,,,,,
164,820,,,,,136,421,,,,,,,,,,,,,,,,,,,,,,
165,809,,,,,137,827,,,,,,,,,,,,,,,,,,,,,,
166,846,,,,,138,814,,,,,,,,,,,,,,,,,,,,,,
167,711,,,,,139,527,,,,,,,,,,,,,,,,,,,,,,
168,842,,,,,140,25,,,,,,,,,,,,,,,,,,,,,,
169,852,,,,,141,26,,,,,,,,,,,,,,,,,,,,,,
170,810,,,,,142,829,,,,,,,,,,,,,,,,,,,,,,
171,A2,,,,,143,828,,,,,,,,,,,,,,,,,,,,,,
172,115,,,,,144,909,,,,,,,,,,,,,,,,,,,,,,
173,52,,,,,145,640,,,,,,,,,,,,,,,,,,,,,,
174,220,,,,,146,731,,,,,,,,,,,,,,,,,,,,,,
175,205,,,,,147,700,,,,,,,,,,,,,,,,,,,,,,
176,112,,,,,148,25,,,,,,,,,,,,,,,,,,,,,,
177,206,,,,,149,605,,,,,,,,,,,,,,,,,,,,,,
178,237,,,,,150,101,,,,,,,,,,,,,,,,,,,,,,
179,137,,,,,151,790,,,,,,,,,,,,,,,,,,,,,,
180,815,,,,,152,A3,,,,,,,,,,,,,,,,,,,,,,
181,622,,,,,153,B1,,,,,,,,,,,,,,,,,,,,,,
182,235,,,,,154,140,,,,,,,,,,,,,,,,,,,,,,
183,608,,,,,155,124,,,,,,,,,,,,,,,,,,,,,,
184,32,,,,,156,154,,,,,,,,,,,,,,,,,,,,,,
185,420,,,,,157,122,,,,,,,,,,,,,,,,,,,,,,
186,860,,,,,158,447,,,,,,,,,,,,,,,,,,,,,,
187,250,,,,,159,416,,,,,,,,,,,,,,,,,,,,,,
188,221,,,,,160,418,,,,,,,,,,,,,,,,,,,,,,
189,5,,,,,161,890,,,,,,,,,,,,,,,,,,,,,,
